State,Gender,Year,Name,Births
VA,M,1980,Aaron,230
VA,F,1980,Abbey,9
VA,F,1980,Abby,8
VA,F,1980,Abigail,34
VA,M,1980,Abraham,9
VA,M,1980,Adam,360
VA,F,1980,Adrian,11
VA,M,1980,Adrian,27
VA,F,1980,Adriane,7
VA,F,1980,Adrianne,15
VA,F,1980,Adrienne,48
VA,F,1980,Agnes,6
VA,M,1980,Ahmad,6
VA,F,1980,Aimee,26
VA,F,1980,Aisha,18
VA,F,1980,Alaina,6
VA,M,1980,Alan,47
VA,F,1980,Alana,7
VA,M,1980,Albert,24
VA,F,1980,Alecia,5
VA,M,1980,Alex,15
VA,M,1980,Alexander,64
VA,F,1980,Alexandra,18
VA,F,1980,Alexis,19
VA,M,1980,Alfred,23
VA,M,1980,Ali,8
VA,F,1980,Alice,16
VA,F,1980,Alicia,98
VA,F,1980,Alisa,6
VA,F,1980,Alisha,30
VA,F,1980,Alison,66
VA,F,1980,Alissa,10
VA,M,1980,Allan,16
VA,M,1980,Allen,50
VA,F,1980,Allison,129
VA,F,1980,Allyson,7
VA,M,1980,Alonzo,15
VA,M,1980,Alphonso,9
VA,M,1980,Alton,9
VA,M,1980,Alvin,49
VA,F,1980,Alysia,5
VA,F,1980,Alyson,8
VA,F,1980,Alyssa,11
VA,F,1980,Amanda,876
VA,F,1980,Amber,214
VA,F,1980,Amelia,13
VA,F,1980,Ami,5
VA,F,1980,Amie,14
VA,F,1980,Amy,437
VA,F,1980,Ana,10
VA,F,1980,Anastasia,7
VA,M,1980,Andra,6
VA,M,1980,Andrae,9
VA,M,1980,Andre,56
VA,F,1980,Andrea,153
VA,F,1980,Andrew,5
VA,M,1980,Andrew,410
VA,F,1980,Andria,8
VA,M,1980,Andy,9
VA,F,1980,Angel,50
VA,F,1980,Angela,366
VA,F,1980,Angelia,5
VA,F,1980,Angelica,6
VA,F,1980,Angelina,7
VA,F,1980,Angelique,10
VA,M,1980,Angelo,11
VA,F,1980,Angie,14
VA,F,1980,Anita,17
VA,F,1980,Ann,61
VA,F,1980,Anna,84
VA,F,1980,Anne,81
VA,F,1980,Annette,8
VA,F,1980,Annie,15
VA,F,1980,Anthony,5
VA,M,1980,Anthony,305
VA,M,1980,Antione,12
VA,M,1980,Antoine,45
VA,F,1980,Antoinette,5
VA,M,1980,Anton,10
VA,F,1980,Antonia,7
VA,M,1980,Antonio,121
VA,M,1980,Antron,5
VA,M,1980,Antwain,7
VA,M,1980,Antwan,16
VA,M,1980,Antwon,6
VA,F,1980,Anya,13
VA,F,1980,April,318
VA,M,1980,Archie,8
VA,M,1980,Arnold,8
VA,M,1980,Arthur,44
VA,F,1980,Ashanti,10
VA,F,1980,Ashlee,5
VA,F,1980,Ashleigh,13
VA,F,1980,Ashley,221
VA,M,1980,Ashley,26
VA,F,1980,Athena,6
VA,F,1980,Aubrey,6
VA,M,1980,Aubrey,12
VA,F,1980,Audra,8
VA,F,1980,Audrey,25
VA,M,1980,Austin,22
VA,F,1980,Autumn,26
VA,M,1980,Avery,11
VA,F,1980,Bambi,7
VA,F,1980,Barbara,50
VA,M,1980,Barry,55
VA,F,1980,Beatrice,6
VA,M,1980,Beau,9
VA,F,1980,Becky,9
VA,F,1980,Belinda,19
VA,M,1980,Ben,6
VA,M,1980,Benjamin,273
VA,M,1980,Bennett,5
VA,M,1980,Benny,5
VA,F,1980,Bernadette,6
VA,M,1980,Bernard,32
VA,F,1980,Bernice,5
VA,F,1980,Bessie,5
VA,F,1980,Beth,43
VA,F,1980,Bethany,44
VA,F,1980,Betsy,9
VA,F,1980,Bettina,13
VA,F,1980,Betty,16
VA,F,1980,Beverly,21
VA,F,1980,Billie,21
VA,M,1980,Billy,55
VA,M,1980,Blaine,7
VA,F,1980,Blair,9
VA,M,1980,Blake,5
VA,F,1980,Bobbi,10
VA,F,1980,Bobbie,18
VA,M,1980,Bobbie,6
VA,M,1980,Bobby,77
VA,F,1980,Bonnie,50
VA,M,1980,Brad,35
VA,M,1980,Bradford,22
VA,M,1980,Bradley,145
VA,M,1980,Bradly,5
VA,M,1980,Brady,5
VA,M,1980,Branden,6
VA,F,1980,Brandi,87
VA,F,1980,Brandie,19
VA,M,1980,Brandon,319
VA,F,1980,Brandy,157
VA,F,1980,Brenda,32
VA,M,1980,Brendan,21
VA,F,1980,Brenna,5
VA,M,1980,Brent,59
VA,M,1980,Brett,33
VA,M,1980,Brian,657
VA,F,1980,Briana,9
VA,F,1980,Brianna,6
VA,F,1980,Brianne,13
VA,F,1980,Bridget,35
VA,F,1980,Bridgett,13
VA,F,1980,Bridgette,19
VA,F,1980,Brittany,18
VA,F,1980,Brittney,9
VA,M,1980,Britton,5
VA,M,1980,Brock,16
VA,F,1980,Brook,5
VA,F,1980,Brooke,84
VA,M,1980,Brooks,6
VA,M,1980,Bruce,31
VA,F,1980,Bryan,6
VA,M,1980,Bryan,166
VA,M,1980,Bryant,25
VA,M,1980,Bryce,12
VA,M,1980,Bryon,5
VA,M,1980,Bryson,6
VA,M,1980,Byron,18
VA,F,1980,Caitlin,10
VA,F,1980,Calandra,5
VA,M,1980,Caleb,11
VA,M,1980,Calvin,50
VA,F,1980,Cameron,12
VA,M,1980,Cameron,29
VA,F,1980,Camille,8
VA,F,1980,Candace,56
VA,F,1980,Candi,14
VA,F,1980,Candice,85
VA,F,1980,Candy,12
VA,F,1980,Cara,22
VA,F,1980,Carey,20
VA,F,1980,Carissa,7
VA,M,1980,Carl,84
VA,F,1980,Carla,39
VA,M,1980,Carlos,47
VA,M,1980,Carlton,23
VA,F,1980,Carly,6
VA,F,1980,Carmen,15
VA,F,1980,Carol,29
VA,F,1980,Carole,8
VA,F,1980,Caroline,43
VA,F,1980,Carolyn,50
VA,F,1980,Carrie,150
VA,M,1980,Carroll,11
VA,M,1980,Carter,12
VA,F,1980,Cary,5
VA,M,1980,Cary,8
VA,F,1980,Caryn,8
VA,F,1980,Casandra,7
VA,F,1980,Casey,52
VA,M,1980,Casey,36
VA,F,1980,Casie,6
VA,F,1980,Cassandra,34
VA,F,1980,Cassie,11
VA,F,1980,Catherine,176
VA,F,1980,Cathleen,5
VA,F,1980,Cathy,14
VA,F,1980,Catrina,11
VA,F,1980,Cecelia,6
VA,M,1980,Cecil,20
VA,F,1980,Cecilia,7
VA,M,1980,Cedric,10
VA,F,1980,Celia,5
VA,M,1980,Chad,161
VA,M,1980,Chadwick,13
VA,F,1980,Chanda,5
VA,F,1980,Chandra,11
VA,F,1980,Chanel,8
VA,F,1980,Chantelle,5
VA,F,1980,Charity,33
VA,F,1980,Charlene,23
VA,M,1980,Charles,446
VA,M,1980,Charlie,24
VA,F,1980,Charlotte,34
VA,F,1980,Charmaine,8
VA,F,1980,Chasity,23
VA,F,1980,Chastity,9
VA,M,1980,Chauncey,8
VA,F,1980,Chelsea,13
VA,F,1980,Cheri,11
VA,F,1980,Cherie,12
VA,F,1980,Cheryl,59
VA,M,1980,Chester,8
VA,F,1980,Chimere,9
VA,F,1980,Chiquita,8
VA,M,1980,Chris,20
VA,F,1980,Chrissy,8
VA,F,1980,Christa,14
VA,F,1980,Christal,11
VA,F,1980,Christi,11
VA,F,1980,Christian,13
VA,M,1980,Christian,38
VA,F,1980,Christiana,6
VA,F,1980,Christie,30
VA,F,1980,Christin,11
VA,F,1980,Christina,406
VA,F,1980,Christine,140
VA,F,1980,Christinia,5
VA,F,1980,Christopher,8
VA,M,1980,Christopher,1289
VA,F,1980,Christy,96
VA,F,1980,Chrystal,19
VA,F,1980,Cindy,32
VA,F,1980,Claire,11
VA,F,1980,Clara,10
VA,M,1980,Clarence,35
VA,F,1980,Clarissa,6
VA,M,1980,Clark,8
VA,M,1980,Claude,13
VA,M,1980,Clay,11
VA,M,1980,Clayton,18
VA,M,1980,Cleveland,6
VA,M,1980,Clifford,23
VA,M,1980,Clifton,31
VA,M,1980,Clint,19
VA,M,1980,Clinton,43
VA,M,1980,Clyde,22
VA,F,1980,Colette,5
VA,M,1980,Colin,17
VA,F,1980,Colleen,33
VA,M,1980,Collin,7
VA,F,1980,Connie,17
VA,F,1980,Constance,8
VA,F,1980,Corey,6
VA,M,1980,Corey,106
VA,F,1980,Corinne,13
VA,M,1980,Cornelius,19
VA,M,1980,Cornell,7
VA,F,1980,Corrie,6
VA,F,1980,Corrine,6
VA,F,1980,Cortney,9
VA,F,1980,Cory,5
VA,M,1980,Cory,54
VA,F,1980,Courtney,146
VA,M,1980,Courtney,17
VA,M,1980,Coy,5
VA,M,1980,Craig,66
VA,F,1980,Cristin,10
VA,F,1980,Cristina,10
VA,F,1980,Cristy,6
VA,F,1980,Crystal,467
VA,M,1980,Curtis,92
VA,F,1980,Cynthia,90
VA,M,1980,Cyrus,5
VA,F,1980,Daisy,10
VA,M,1980,Dale,17
VA,M,1980,Dallas,18
VA,M,1980,Damian,12
VA,M,1980,Damien,33
VA,M,1980,Damon,20
VA,F,1980,Dana,118
VA,M,1980,Dana,9
VA,M,1980,Dane,5
VA,F,1980,Daniel,5
VA,M,1980,Daniel,535
VA,F,1980,Danielle,117
VA,F,1980,Danna,5
VA,M,1980,Danny,42
VA,M,1980,Dante,18
VA,F,1980,Dara,13
VA,M,1980,Darin,7
VA,M,1980,Darius,22
VA,F,1980,Darlene,8
VA,M,1980,Darnell,18
VA,M,1980,Darrell,42
VA,M,1980,Darren,21
VA,M,1980,Darryl,19
VA,M,1980,Daryl,28
VA,F,1980,David,8
VA,M,1980,David,983
VA,M,1980,Davis,11
VA,F,1980,Dawn,89
VA,M,1980,Dean,16
VA,M,1980,Deandre,5
VA,M,1980,Deangelo,5
VA,F,1980,Deanna,31
VA,F,1980,Debbie,5
VA,F,1980,Deborah,47
VA,F,1980,Debra,25
VA,F,1980,Deidra,9
VA,F,1980,Delores,6
VA,F,1980,Demetria,16
VA,F,1980,Demetrice,5
VA,M,1980,Demetrius,18
VA,M,1980,Demond,11
VA,F,1980,Dena,6
VA,F,1980,Denise,59
VA,F,1980,Denita,7
VA,M,1980,Dennis,76
VA,M,1980,Deon,8
VA,M,1980,Derek,150
VA,M,1980,Derick,21
VA,M,1980,Derik,7
VA,M,1980,Deron,7
VA,M,1980,Derrick,111
VA,M,1980,Deshawn,6
VA,F,1980,Desiree,17
VA,M,1980,Desmond,10
VA,F,1980,Destiny,7
VA,F,1980,Devin,6
VA,M,1980,Devin,25
VA,F,1980,Devon,23
VA,M,1980,Devon,19
VA,M,1980,Dewayne,9
VA,M,1980,Dewey,5
VA,M,1980,Dexter,12
VA,F,1980,Diana,30
VA,F,1980,Diane,22
VA,F,1980,Dianna,12
VA,F,1980,Dina,9
VA,M,1980,Dion,11
VA,F,1980,Dionne,8
VA,M,1980,Dominic,18
VA,M,1980,Dominick,7
VA,F,1980,Dominique,6
VA,M,1980,Dominique,11
VA,M,1980,Don,17
VA,M,1980,Donald,154
VA,F,1980,Donita,5
VA,F,1980,Donna,57
VA,M,1980,Donnell,18
VA,M,1980,Donnie,19
VA,M,1980,Donovan,5
VA,M,1980,Donta,10
VA,M,1980,Dontae,6
VA,M,1980,Donte,12
VA,F,1980,Doris,5
VA,F,1980,Dorothy,25
VA,M,1980,Douglas,117
VA,F,1980,Dreama,5
VA,M,1980,Drew,8
VA,M,1980,Duane,25
VA,M,1980,Duron,5
VA,M,1980,Dustin,102
VA,F,1980,Dusty,7
VA,M,1980,Dusty,7
VA,M,1980,Dwayne,37
VA,M,1980,Dwight,16
VA,M,1980,Dylan,13
VA,M,1980,Earl,40
VA,M,1980,Earnest,8
VA,F,1980,Ebonie,5
VA,F,1980,Ebony,66
VA,M,1980,Eddie,21
VA,M,1980,Edgar,11
VA,M,1980,Edmund,7
VA,M,1980,Eduardo,7
VA,M,1980,Edward,148
VA,M,1980,Edwin,21
VA,F,1980,Eileen,10
VA,F,1980,Elaine,11
VA,F,1980,Eleanor,11
VA,F,1980,Elena,5
VA,M,1980,Eli,10
VA,M,1980,Elijah,18
VA,F,1980,Elisabeth,14
VA,F,1980,Elisha,9
VA,F,1980,Eliza,6
VA,F,1980,Elizabeth,518
VA,F,1980,Ella,6
VA,F,1980,Ellen,29
VA,M,1980,Elliott,7
VA,F,1980,Elsie,7
VA,M,1980,Emanuel,9
VA,F,1980,Emily,193
VA,F,1980,Emma,18
VA,M,1980,Emmanuel,5
VA,M,1980,Emory,5
VA,M,1980,Eric,370
VA,F,1980,Erica,146
VA,M,1980,Erick,15
VA,F,1980,Ericka,11
VA,M,1980,Erik,70
VA,F,1980,Erika,47
VA,F,1980,Erin,296
VA,M,1980,Erin,7
VA,M,1980,Ernest,48
VA,M,1980,Ernesto,5
VA,M,1980,Ervin,5
VA,F,1980,Esther,12
VA,M,1980,Ethan,18
VA,M,1980,Eugene,25
VA,F,1980,Eugenia,8
VA,F,1980,Eva,14
VA,M,1980,Evan,32
VA,F,1980,Evelyn,16
VA,M,1980,Everett,15
VA,M,1980,Ezra,6
VA,F,1980,Faith,20
VA,F,1980,Felicia,39
VA,F,1980,Felisha,6
VA,M,1980,Fernando,5
VA,M,1980,Floyd,10
VA,M,1980,Forrest,10
VA,F,1980,Frances,25
VA,M,1980,Francis,14
VA,M,1980,Frank,64
VA,M,1980,Frankie,7
VA,M,1980,Franklin,27
VA,M,1980,Fred,10
VA,M,1980,Freddie,11
VA,M,1980,Frederick,27
VA,M,1980,Fredrick,11
VA,M,1980,Gabriel,27
VA,F,1980,Gabrielle,12
VA,F,1980,Gail,7
VA,M,1980,Garland,7
VA,M,1980,Garrett,22
VA,M,1980,Garry,9
VA,M,1980,Gary,92
VA,F,1980,Gayle,5
VA,M,1980,Gene,11
VA,F,1980,Genese,5
VA,F,1980,Geneva,7
VA,F,1980,Genevieve,12
VA,M,1980,Geoffrey,30
VA,M,1980,George,147
VA,F,1980,Georgia,7
VA,M,1980,Gerald,38
VA,M,1980,Gerard,9
VA,M,1980,Gilbert,11
VA,F,1980,Gina,24
VA,F,1980,Ginger,33
VA,M,1980,Glen,10
VA,F,1980,Glenda,5
VA,M,1980,Glenn,34
VA,F,1980,Gloria,16
VA,M,1980,Gordon,12
VA,F,1980,Grace,18
VA,M,1980,Graham,17
VA,M,1980,Grant,15
VA,M,1980,Greg,9
VA,M,1980,Gregory,209
VA,F,1980,Greta,9
VA,F,1980,Gretchen,16
VA,M,1980,Guy,11
VA,F,1980,Gwendolyn,16
VA,F,1980,Haley,6
VA,F,1980,Hannah,34
VA,M,1980,Hans,5
VA,M,1980,Harold,32
VA,M,1980,Harrison,6
VA,M,1980,Harry,30
VA,M,1980,Harvey,11
VA,M,1980,Heath,12
VA,F,1980,Heather,467
VA,F,1980,Heidi,38
VA,F,1980,Helen,28
VA,F,1980,Helena,5
VA,M,1980,Henry,52
VA,M,1980,Herbert,30
VA,M,1980,Herman,8
VA,F,1980,Hilary,9
VA,F,1980,Hillary,10
VA,F,1980,Holli,7
VA,F,1980,Hollie,13
VA,F,1980,Holly,121
VA,F,1980,Hope,21
VA,M,1980,Horace,6
VA,M,1980,Howard,29
VA,M,1980,Hugh,8
VA,M,1980,Hunter,26
VA,M,1980,Ian,62
VA,F,1980,Irene,7
VA,F,1980,Iris,8
VA,M,1980,Isaac,18
VA,M,1980,Israel,7
VA,M,1980,Ivan,16
VA,F,1980,Ivy,8
VA,M,1980,Jack,23
VA,F,1980,Jackie,10
VA,M,1980,Jackie,12
VA,M,1980,Jackson,7
VA,F,1980,Jaclyn,22
VA,M,1980,Jacob,104
VA,F,1980,Jacqueline,68
VA,F,1980,Jacquelyn,13
VA,F,1980,Jada,5
VA,F,1980,Jaime,62
VA,M,1980,Jake,6
VA,M,1980,Jamaal,19
VA,M,1980,Jamaine,7
VA,M,1980,Jamal,13
VA,M,1980,Jamar,18
VA,M,1980,Jamel,6
VA,F,1980,James,6
VA,M,1980,James,1027
VA,M,1980,Jamey,6
VA,F,1980,Jami,15
VA,F,1980,Jamie,161
VA,M,1980,Jamie,84
VA,F,1980,Jana,12
VA,F,1980,Jane,20
VA,F,1980,Janel,9
VA,F,1980,Janell,9
VA,F,1980,Janelle,17
VA,F,1980,Janet,25
VA,F,1980,Janice,23
VA,F,1980,Janna,7
VA,M,1980,Jarad,5
VA,M,1980,Jared,81
VA,M,1980,Jarrett,20
VA,M,1980,Jarrod,22
