Player,game,date,age,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,plus_minus
James,1,10/29/2003,18-303,CLE,SAC,L (-14),42,12,20,0.6,0,2,0,1,3,0.333,2,4,6,9,4,0,2,25,24.7,-9
James,2,10/30/2003,18-304,CLE,PHO,L (-9),41,8,17,0.471,1,5,0.2,4,7,0.571,2,10,12,8,1,0,7,21,14.7,-3
James,3,11/1/2003,18-306,CLE,POR,L (-19),39,3,12,0.25,0,1,0,2,2,1,0,4,4,6,2,0,2,8,5,-21
James,4,11/5/2003,18-310,CLE,DEN,L (-4),41,3,11,0.273,0,2,0,1,1,1,2,9,11,7,2,3,2,7,11.2,-3
James,5,11/7/2003,18-312,CLE,IND,L (-1),44,8,18,0.444,1,2,0.5,6,7,0.857,0,5,5,3,0,0,7,23,9,-7
James,6,11/8/2003,18-313,CLE,WAS,W (+13),45,8,19,0.421,0,0,,1,4,0.25,5,3,8,9,1,1,2,17,15.7,14
James,7,11/10/2003,18-315,CLE,NYK,W (+14),34,7,12,0.583,3,3,1,0,0,,1,4,5,4,1,1,2,17,15.8,20
James,8,11/12/2003,18-317,CLE,MIA,L (-5),42,6,15,0.4,2,5,0.4,4,6,0.667,1,2,3,7,2,1,4,18,12.8,-4
James,9,11/14/2003,18-319,CLE,BOS,L (-9),35,3,12,0.25,2,4,0.5,2,4,0.5,1,4,5,3,0,0,4,10,0.8,-1
James,10,11/15/2003,18-320,CLE,PHI,W (+3),47,10,19,0.526,0,1,0,2,4,0.5,0,5,5,8,1,2,5,22,15.6,8
James,11,11/18/2003,18-323,CLE,LAC,W (+8),39,6,16,0.375,0,2,0,2,4,0.5,2,5,7,8,0,1,3,14,9.8,1
James,12,11/19/2003,18-324,CLE,WAS,L (-11),40,10,18,0.556,2,4,0.5,6,8,0.75,2,5,7,8,2,1,4,28,25,-5
James,13,11/21/2003,18-326,CLE,MIN,L (-14),36,8,19,0.421,0,2,0,3,3,1,2,7,9,2,1,0,1,19,12.2,-5
James,14,11/22/2003,18-327,CLE,ATL,L (-9),42,3,16,0.188,0,1,0,9,10,0.9,2,4,6,4,2,1,3,15,9.3,-6
James,15,11/26/2003,18-331,CLE,NOH,L (-10),39,5,17,0.294,1,4,0.25,4,4,1,2,6,8,9,0,0,4,15,10.2,-13
James,16,11/28/2003,18-333,CLE,DET,L (-4),36,2,8,0.25,0,2,0,2,3,0.667,0,2,2,7,0,0,4,6,1.1,-10
James,17,11/29/2003,18-334,CLE,MEM,L (-7),55,14,28,0.5,3,6,0.5,2,3,0.667,2,14,16,7,1,1,8,33,22.4,-10
James,18,12/2/2003,18-337,CLE,DEN,L (-12),32,6,19,0.316,2,3,0.667,5,7,0.714,3,3,6,5,2,0,2,19,12.2,-12
James,19,12/3/2003,18-338,CLE,LAC,L (-10),34,2,13,0.154,0,3,0,0,0,,4,2,6,8,2,0,5,4,0.9,3
James,20,12/6/2003,18-341,CLE,ATL,W (+10),36,4,12,0.333,0,2,0,0,0,,1,5,6,5,2,1,3,8,5.8,-5
James,21,12/9/2003,18-344,CLE,TOR,L (-7),37,7,16,0.438,0,0,,4,4,1,0,5,5,3,1,0,2,18,11.4,-2
James,22,12/11/2003,18-346,CLE,DET,W (+9),43,8,21,0.381,1,3,0.333,6,8,0.75,1,2,3,9,1,1,4,23,14.8,9
James,23,12/13/2003,18-348,CLE,BOS,L (-7),45,10,20,0.5,1,5,0.2,16,18,0.889,1,2,3,4,0,0,2,37,27.5,-2
James,24,12/15/2003,18-350,CLE,IND,L (-10),44,10,16,0.625,0,3,0,7,8,0.875,1,3,4,6,3,3,6,27,23.9,-12
James,25,12/17/2003,18-352,CLE,HOU,L (-4),36,7,19,0.368,2,4,0.5,1,2,0.5,0,1,1,3,0,0,2,17,5.7,-9
James,26,12/19/2003,18-354,CLE,PHI,W (+7),42,14,24,0.583,5,7,0.714,3,3,1,1,3,4,5,4,0,4,36,29.5,9
James,27,12/20/2003,18-355,CLE,CHI,W (+8),42,11,22,0.5,0,5,0,10,12,0.833,1,5,6,10,2,2,4,32,28,9
James,28,12/23/2003,18-358,CLE,NOH,W (+11),39,7,22,0.318,1,6,0.167,7,8,0.875,2,4,6,2,6,1,5,22,14.3,9
James,29,12/25/2003,18-360,CLE,ORL,L (-12),47,13,28,0.464,4,10,0.4,4,5,0.8,1,1,2,6,2,1,8,34,19.1,-9
James,30,12/26/2003,18-361,CLE,CHI,L (-7),34,7,24,0.292,1,4,0.25,3,4,0.75,1,2,3,4,1,2,5,18,5.1,-12
James,31,12/28/2003,18-363,CLE,POR,W (+12),39,15,23,0.652,0,2,0,2,2,1,3,7,10,9,3,0,5,32,30,11
James,32,12/30/2003,19-000,CLE,IND,L (-3),38,9,20,0.45,0,4,0,4,6,0.667,2,8,10,4,0,0,4,22,12.6,-2
James,33,1/2/2004,19-003,CLE,NJN,L (-15),37,6,19,0.316,0,4,0,2,4,0.5,1,3,4,9,1,0,3,14,7.4,-14
