ID,Title,Year,Age,IMDb,Rotten Tomatoes,Runtime
1,Inception,2010,13+,8.8,87%,148
2,The Matrix,1999,18+,8.7,87%,136
3,Avengers: Infinity War,2018,13+,8.5,84%,149
4,Back to the Future,1985,7+,8.5,96%,116
5,"The Good, the Bad and the Ugly",1966,18+,8.8,97%,161
6,Spider-Man: Into the Spider-Verse,2018,7+,8.4,97%,117
7,The Pianist,2002,18+,8.5,95%,150
8,Django Unchained,2012,18+,8.4,87%,165
9,Raiders of the Lost Ark,1981,7+,8.4,95%,115
10,Inglourious Basterds,2009,18+,8.3,89%,153
11,Taxi Driver,1976,18+,8.3,95%,114
12,3 Idiots,2009,13+,8.4,100%,170
13,Pan's Labyrinth,2006,18+,8.2,95%,118
14,Room,2015,18+,8.1,93%,118
15,Monty Python and the Holy Grail,1975,7+,8.2,97%,91
16,Once Upon a Time in the West,1968,13+,8.5,95%,165
17,Indiana Jones and the Last Crusade,1989,13+,8.2,88%,127
18,Groundhog Day,1993,7+,8,96%,101
19,The King's Speech,2010,18+,8,95%,118
20,Her,2013,18+,8,95%,126
21,There Will Be Blood,2007,18+,8.2,91%,158
22,The Social Network,2010,13+,7.7,96%,120
23,Dallas Buyers Club,2013,18+,8,93%,117
24,The Perks of Being a Wallflower,2012,13+,8,86%,103
25,Life of Brian,1979,18+,8.1,95%,94
26,Ex Machina,2015,18+,7.7,92%,108
27,Silver Linings Playbook,2012,18+,7.7,92%,122
28,District 9,2009,18+,7.9,90%,112
29,The Irishman,2019,18+,7.9,96%,209
30,Moon,2009,18+,7.9,90%,97
31,Marriage Story,2019,18+,8,95%,137
32,Drive,2011,18+,7.8,92%,100
33,Train to Busan,2016,,7.5,94%,118
34,Incredibles 2,2018,7+,7.6,94%,118
35,Dangal,2016,7+,8.4,88%,161
36,Klaus,2019,7+,8.2,94%,96
37,Minority Report,2002,13+,7.6,90%,145
38,Mystic River,2003,18+,7.9,88%,138
39,Like Stars on Earth,2007,7+,8.4,91%,165
40,Ferris Bueller's Day Off,1986,13+,7.8,80%,103
41,Despicable Me,2010,7+,7.6,81%,95
42,Hell or High Water,2016,18+,7.6,97%,102
43,Sin City,2005,18+,8,77%,124
44,Ip Man,2008,18+,8,85%,106
45,Indiana Jones and the Temple of Doom,1984,7+,7.6,85%,118
46,The Theory of Everything,2014,13+,7.7,79%,123
47,The Pursuit of Happyness,2006,13+,8,67%,117
48,Senna,2010,13+,8.5,93%,106
49,Scott Pilgrim vs. the World,2010,13+,7.5,81%,112
50,Magnolia,1999,18+,8,83%,188
51,The Hateful Eight,2015,18+,7.8,75%,168
52,The Artist,2011,13+,7.9,95%,100
53,Moonlight,2016,18+,7.4,98%,111
54,Back to the Future Part II,1989,7+,7.8,65%,108
55,Willy Wonka & the Chocolate Factory,1971,all,7.8,91%,100
56,What's Eating Gilbert Grape,1993,13+,7.8,90%,118
57,The Curious Case of Benjamin Button,2008,13+,7.8,71%,166
58,A Silent Voice,2016,,8.2,94%,130
59,Snowpiercer,2013,18+,7.1,94%,60
60,Hugo,2011,7+,7.5,93%,126
61,Ant-Man and the Wasp,2018,13+,7.1,88%,118
62,As Good as It Gets,1997,13+,7.7,85%,139
63,Back to the Future Part III,1990,7+,7.4,80%,118
64,Searching for Sugar Man,2012,13+,8.2,95%,86
65,Road to Perdition,2002,18+,7.7,81%,117
66,To All the Boys I've Loved Before,2020,13+,7.2,97%,99
67,Molly's Game,2017,18+,7.4,82%,140
68,Blackfish,2013,13+,8.1,98%,83
69,El Camino: A Breaking Bad Movie,2019,18+,7.4,91%,122
70,The Invisible Guest,2016,18+,8.1,67%,106
71,Song of the Sea,2014,7+,8.1,99%,93
72,End of Watch,2012,18+,7.6,85%,109
73,The Evil Dead,1981,18+,7.5,95%,85
74,About Time,2013,18+,7.8,68%,123
75,Kung Fu Hustle,2004,18+,7.7,90%,99
76,Blue Is the Warmest Color,2013,18+,7.7,89%,180
77,Y Tu Mamá También,2001,18+,7.6,92%,106
78,The Naked Gun: From the Files of Police Squad!,1988,13+,7.6,87%,85
79,Mud,2013,13+,7.4,97%,130
